Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
160.00	10.000	139.92	0.0071468	22.572	25.718	93.744	36.586	54.167	305.96	3.7993	23.472	0.033137	supercritical
160.00	10.033	140.45	0.0071200	22.567	25.711	93.704	36.594	54.215	305.95	3.7962	23.484	0.033163	supercritical
160.00	10.067	140.98	0.0070934	22.562	25.704	93.664	36.601	54.264	305.95	3.7932	23.497	0.033190	supercritical
160.00	10.100	141.51	0.0070669	22.556	25.697	93.624	36.609	54.313	305.94	3.7901	23.509	0.033216	supercritical
160.00	10.133	142.03	0.0070406	22.551	25.690	93.585	36.617	54.362	305.93	3.7869	23.522	0.033242	supercritical
160.00	10.167	142.56	0.0070145	22.545	25.684	93.545	36.625	54.410	305.93	3.7838	23.535	0.033269	supercritical
160.00	10.200	143.09	0.0069885	22.539	25.677	93.506	36.633	54.459	305.92	3.7807	23.548	0.033295	supercritical
160.00	10.233	143.62	0.0069627	22.534	25.670	93.466	36.641	54.508	305.91	3.7776	23.560	0.033322	supercritical
160.00	10.267	144.15	0.0069371	22.528	25.663	93.427	36.648	54.557	305.91	3.7744	23.573	0.033348	supercritical
160.00	10.300	144.68	0.0069117	22.523	25.656	93.387	36.656	54.606	305.90	3.7713	23.586	0.033375	supercritical
160.00	10.333	145.21	0.0068864	22.517	25.649	93.348	36.664	54.655	305.90	3.7681	23.599	0.033402	supercritical
160.00	10.367	145.74	0.0068613	22.512	25.642	93.309	36.672	54.704	305.90	3.7650	23.612	0.033429	supercritical
160.00	10.400	146.28	0.0068364	22.506	25.635	93.270	36.680	54.753	305.89	3.7618	23.625	0.033455	supercritical
160.00	10.433	146.81	0.0068116	22.501	25.629	93.231	36.687	54.803	305.89	3.7586	23.638	0.033482	supercritical
160.00	10.467	147.34	0.0067870	22.495	25.622	93.192	36.695	54.852	305.88	3.7555	23.651	0.033509	supercritical
160.00	10.500	147.87	0.0067626	22.490	25.615	93.153	36.703	54.901	305.88	3.7523	23.664	0.033536	supercritical
160.00	10.533	148.41	0.0067383	22.484	25.608	93.115	36.711	54.950	305.88	3.7491	23.677	0.033563	supercritical
160.00	10.567	148.94	0.0067141	22.479	25.601	93.076	36.719	55.000	305.88	3.7459	23.690	0.033591	supercritical
160.00	10.600	149.47	0.0066902	22.473	25.594	93.037	36.726	55.049	305.87	3.7427	23.704	0.033618	supercritical
160.00	10.633	150.01	0.0066663	22.468	25.587	92.999	36.734	55.099	305.87	3.7394	23.717	0.033645	supercritical
160.00	10.667	150.54	0.0066427	22.462	25.581	92.961	36.742	55.148	305.87	3.7362	23.730	0.033672	supercritical
160.00	10.700	151.08	0.0066191	22.457	25.574	92.922	36.750	55.198	305.87	3.7330	23.743	0.033700	supercritical
